subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.1.1,Menerangkan fungsi menggunakan perwakilan grafik dan tatatanda.,1010100,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.1.2,Menentukan domain dan julat bagi suatu fungsi,1010200,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.1.3,Menentukan imej suatu fungsi apabila objek diberi dan sebaliknya.,1010300,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.2.1,Memerihalkan hasil gubahan dua fungsi.,1020100,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.2.2,Menentukan fungsi gubahan,1020200,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.2.3,Menentukan imej suatu fungsi gubahan apabila objek diberi dan sebaliknya.,1020300,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.2.4,Menentukan suatu fungsi berkaitan apabila fungsi gubahan dan salah satu fungsinya diberi.,1020400,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.2.5,Menyelesaikan masalah yang melibatkan fungsi gubahan.,1020500,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.3.1,Memerihalkan songsangan suatu fungsi.,1030100,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.3.2,Membuat dan mengesahkan konjektur berkaitan sifat-sifat fungsi songsang.,1030200,TRUE
Matematik Tambahan SM,MTT-SM,4,1.0 Fungsi,1.3.3,Menentukan fungsi songsang.,1030300,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.1.1,Menyelesaikan persamaan kuadratik menggunakan kaedah penyempurnaan kuasa dua dan rumus.,2010100,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.1.2,Membentuk persamaan kuadratik daripada punca-punca yang diberi.,2010200,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.1.3,Menyelesaikan ketaksamaan kuadratik.,2010300,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.2.1,Membuat perkaitan antara jenis-jenis punca persamaan kuadratik dan nilai pembezalayan.,2020100,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.2.2,Menyelesaikan masalah yang melibatkan jenis-jenis punca dalam persamaan kuadratik.,2020200,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.3.1,"Menganalisis dan membuat generalisasi tentang kesan perubahan a,b dan c dalam f(x)= ax²+ bx+ c terhadap bentuk dan kedudukan graf.",2030100,TRUE
Matematik Tambahan SM,MTT-SM,4,2.0 Fungsi Kuadratik,2.3.2,Menghubungkaitkan kedudukan graf fungsi kuadratik dengan jenis punca.,2030200,TRUE
