subjectName,subjectId,year,groupName,spCode,spDescription,sortOrder,isActive
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.1.1,Menerangkan tentang fizik.,1010100,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.1.2,Menerangkan dengan contoh kuantiti asas dan kuantiti terbitan.,1010200,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.1.3,Memerihalkan kuantiti terbitan dalam sebutan kuantiti asas dan unit asas S.I.,1010300,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.1.4,Menerangkan dengan contoh kuantiti skalar dan kuantiti vektor.,1010400,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.2.1,Mentafsir bentuk-bentuk graf untuk menentukan hubungan antara dua kuantiti fizik.,1020100,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.2.2,Menganalisis graf untuk mendapatkan rumusan siasatan.,1020200,TRUE
Fizik SM,FZ-SM,4,1.0 Pengukuran,1.2.3,Menjalankan penyiasatan saintifik dan menulis laporan lengkap melalui eksperimen bandul ringkas.,1020300,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.1.1,"Menghuraikan jenis gerakan linear bagi objek pegun, halaju seragam dan halaju tidak seragam.",2010100,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.1.2,"Menentukan jarak & sesaran, laju & halaju, pecutan & nyahpecutan",2010200,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.1.3,Menyelesaikan masalah gerakan linear dengan menggunakan persamaan; v = u + at; s = 1/2 (u+v)t; s = ut + at2; v,2010300,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.2.1,"Mentafsir jenis gerakan dari graf s-t, v-t dan a-t",2020100,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.2.2,"Menganalisis graf sesaran-masa untuk menentukan jarak, sesaran dan halaju.",2020200,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.2.3,"Menganalisis graf halaju-masa untuk menentukan jarak, sesaran, halaju dan pecutan.",2020300,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.2.4,Menterjemah dan melakar graf s-t kepada v-t dan sebaliknya serta graf v-t kepada a-t dan sebaliknya.,2020400,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.2.5,Menyelesaikan masalah melibatkan graf gerakan linear,2020500,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.3.1,Menjelaskan gerakan jatuh bebas dan pecutan graviti melalui contoh,2030100,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.3.2,Mengeksperimen untuk menentukan nilai pecutan graviti,2030200,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.3.3,Menyelesaikan masalah yang melibatkan pecutan graviti bumi bagi objek yang jatuh bebas,2030300,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.4.1,Menerangkan konsep inersia melalui contoh,2040100,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.4.2,Mengeksperimen untuk mengenal pasti hubungan antara inersia dan jisim,2040200,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.4.3,Mewajarkan kesan inersia dalam kehidupan harian,2040300,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.5.1,"Menerangkan momentum, p sebagai hasil darab jisim, m dan halaju, v.",2050100,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.5.2,Mengaplikasi Prinsip Keabadian Momentum dalam pelanggaran dan letupan,2050200,TRUE
Fizik SM,FZ-SM,4,2.0 Daya Dan Gerakan 1,2.6.1,Mendefinisikan daya sebagai kadar perubahan momentum.,2060100,TRUE
